task_type,prompt,model,n,success_with,success_without,gain_n,loss_n,both_success_n,both_failure_n,SR_difference_pp,difference_ci_low_pp,difference_ci_high_pp
state_change_task,single-prompt,gpt-4o-mini,312,195,192,34,31,161,86,0.9615384615384616,-4.545454545454546,5.592608754027928
state_change_task,single-prompt,gpt-4o,312,246,237,26,17,220,49,2.8846153846153846,0.6578947368421052,10.0
state_change_task,multi-prompts,gpt-4o-mini,312,234,217,48,31,186,47,5.448717948717949,-5.0,14.705882352941178
state_change_task,multi-prompts,gpt-4o,312,279,272,12,5,267,28,2.2435897435897436,0.9375,6.944444444444445
placement_task,single-prompt,gpt-4o-mini,103,48,49,6,7,42,48,-0.970873786407767,-8.547008547008547,7.0591206179441475
placement_task,single-prompt,gpt-4o,103,76,70,12,6,64,21,5.825242718446602,-2.858178053830227,13.979032258064517
placement_task,multi-prompts,gpt-4o-mini,103,42,45,6,9,36,52,-2.912621359223301,-9.303412301673548,4.651162790697675
placement_task,multi-prompts,gpt-4o,103,84,82,6,4,78,15,1.941747572815534,-4.167542016806722,7.6190476190476195
