model,arm,n,tp,fp,tn,fn,accuracy,precision,recall,false_accept_rate,false_reject_rate
gpt-4o-2024-08-06,C1_llm_precheck,54,40,9,5,0,0.8333333333333334,0.8163265306122449,1.0,0.6428571428571429,0.0
gpt-4o-2024-08-06,R_fixed,54,34,8,10,2,0.8148148148148148,0.8095238095238095,0.9444444444444444,0.4444444444444444,0.05555555555555555
gpt-4o-2024-08-06,R_none,9,9,0,0,0,1.0,1.0,1.0,,0.0
gpt-4o-2024-08-06,R_random,52,39,9,4,0,0.8269230769230769,0.8125,1.0,0.6923076923076923,0.0
gpt-4o-mini-2024-07-18,C1_llm_precheck,43,26,4,8,5,0.7906976744186046,0.8666666666666667,0.8387096774193549,0.3333333333333333,0.16129032258064516
gpt-4o-mini-2024-07-18,R_fixed,73,60,0,10,3,0.958904109589041,1.0,0.9523809523809523,0.0,0.047619047619047616
gpt-4o-mini-2024-07-18,R_none,9,5,0,3,1,0.8888888888888888,1.0,0.8333333333333334,0.0,0.16666666666666666
gpt-4o-mini-2024-07-18,R_random,44,35,1,1,7,0.8181818181818182,0.9722222222222222,0.8333333333333334,0.5,0.16666666666666666
